ctrl-1_FRAS202101646-1r_aligned.sam	ctrl-2_FRAS202101647-1r_aligned.sam	ctrl-3_FRAS202101648-1r_aligned.sam	ctrl-4_FRAS202101649-1r_aligned.sam	AKG-1_FRAS202101650-1r_aligned.sam	AKG-2_FRAS202101651-1r_aligned.sam	AKG-3_FRAS202101652-1r_aligned.sam	AKG-4_FRAS202101653-1r_aligned.sam	Pyr-1_FRAS202101654-1r_aligned.sam	Pyr-2_FRAS202101655-1r_aligned.sam	Pyr-3_FRAS202101656-1r_aligned.sam	Pyr-4_FRAS202101657-1r_aligned.sam	Length
ENSG00000221741	0	0	0	0	0	0	0	0	0	0	0	0	121
ENSG00000281515	0	0	0	0	0	0	0	0	0	0	0	0	137
ENSG00000253660	0	0	0	0	0	0	0	0	0	0	0	0	663
ENSG00000253947	0	0	0	0	0	0	0	0	0	0	0	0	489
ENSG00000253065	0	0	0	0	0	0	0	0	0	0	0	0	115
ENSG00000253925	0	0	0	0	0	0	0	0	0	0	0	0	2181
ENSG00000279739	0	0	0	0	0	0	0	0	0	0	0	0	1567
ENSG00000253978	0	0	0	0	0	0	0	0	0	0	0	0	503
ENSG00000113645	0	1	0	0	0	0	1	0	1	1	0	0	10076
ENSG00000113643	2541	2244	2490	2269	2356	2159	2380	2316	2567	3047	2345	2508	3421
ENSG00000188573	0	0	0	0	0	0	0	0	1	0	0	0	1519
ENSG00000120137	4049	3519	3926	3056	3226	3167	3008	3149	3447	3358	2681	3018	10580
ENSG00000253861	0	0	0	0	0	0	0	0	0	0	0	0	1451
ENSG00000199035	0	0	0	0	0	0	0	0	0	0	0	0	86
ENSG00000233913	1070	1020	973	968	885	1061	1078	967	1034	1040	903	895	645
ENSG00000254192	0	0	0	0	0	0	0	0	0	0	0	0	810
ENSG00000184347	0	0	0	0	0	0	0	0	0	0	0	0	14260
ENSG00000254042	0	0	0	0	0	0	0	0	1	0	0	2	3478
ENSG00000207739	0	0	0	0	0	0	0	0	0	0	0	0	110
ENSG00000202345	0	0	0	0	0	0	0	0	0	0	0	0	113
ENSG00000248965	0	0	0	0	0	0	0	0	0	0	0	0	365
ENSG00000279752	0	0	0	0	0	0	0	0	0	0	0	0	999
ENSG00000248222	0	0	0	0	0	0	0	0	0	0	0	0	3124
ENSG00000207619	0	0	0	0	0	0	0	0	0	0	0	0	94
ENSG00000206614	0	0	0	0	0	0	0	0	0	0	0	0	107
ENSG00000040275	1183	1207	1338	1174	902	990	1143	1047	1227	1228	976	1013	4777
ENSG00000134516	371	332	396	340	428	484	443	477	331	350	428	494	12890
ENSG00000253269	0	0	0	0	0	0	0	0	1	0	0	0	283
ENSG00000204767	0	0	0	1	2	3	0	0	2	0	0	0	2999
ENSG00000216020	0	0	0	0	0	0	1	0	0	0	0	0	55
ENSG00000263831	0	0	0	0	0	0	0	0	0	0	0	0	79
ENSG00000168269	0	0	0	0	0	0	0	0	0	0	0	0	2312
ENSG00000253219	0	0	0	2	0	0	0	0	0	0	0	0	1277
ENSG00000249601	0	0	0	0	0	0	0	0	0	0	0	0	2314
ENSG00000234511	12	6	6	8	11	8	12	14	14	8	14	5	3191
ENSG00000043462	191	149	197	164	123	160	193	153	151	169	163	201	7244
ENSG00000250274	0	0	0	0	1	0	2	0	1	1	0	1	2182
ENSG00000235172	21	16	10	18	15	8	9	12	4	13	8	6	985
ENSG00000182132	0	0	0	0	0	0	0	0	0	0	0	0	3126
ENSG00000145936	0	0	0	0	0	0	0	0	0	0	0	0	6079
ENSG00000253647	0	0	0	0	0	0	0	0	0	0	0	0	1215
ENSG00000253858	0	0	0	0	0	0	0	0	0	0	0	0	567
ENSG00000253591	0	0	0	0	0	0	0	0	0	0	0	0	1571
ENSG00000253348	0	0	0	0	0	0	0	0	0	0	0	0	1191
ENSG00000094755	0	0	0	0	0	0	0	0	0	0	0	0	4621
ENSG00000276554	0	0	0	0	0	0	0	0	0	0	0	0	68
ENSG00000204764	0	0	0	0	0	0	0	0	0	0	0	0	10993
ENSG00000244501	0	0	0	0	0	0	0	0	0	0	0	0	310
ENSG00000253966	0	0	0	0	0	0	0	0	0	0	0	0	1337
ENSG00000253213	0	0	0	0	0	0	0	0	0	0	0	0	1117
ENSG00000275038	0	0	0	0	0	0	0	0	0	0	0	0	2775
ENSG00000164438	0	0	0	0	0	0	0	0	0	0	0	0	1493
ENSG00000213393	0	0	0	0	0	0	0	0	0	0	0	0	288
ENSG00000265740	0	0	0	0	0	0	0	0	0	0	0	0	296
ENSG00000254256	0	0	0	0	0	0	0	0	0	0	0	0	872
ENSG00000206909	0	0	0	0	0	0	0	0	0	0	0	0	135
ENSG00000254012	0	0	0	0	0	0	0	0	0	0	0	0	313
ENSG00000264249	0	0	0	0	0	0	0	0	0	0	0	0	105
ENSG00000181163	33196	30996	34829	31408	25269	26192	30684	27483	35731	34642	36289	38022	3828
ENSG00000156427	0	0	0	8	0	2	0	3	1	4	0	2	1986
ENSG00000264303	0	0	0	0	0	0	0	0	0	0	0	0	191
ENSG00000253110	0	0	0	0	0	0	0	0	0	0	0	0	705
ENSG00000185662	0	0	0	0	3	0	3	1	0	0	0	0	468
ENSG00000072803	1084	1062	1038	903	858	871	984	897	978	993	960	1089	5577
ENSG00000072786	184	154	194	149	141	167	163	162	172	154	239	304	9083
ENSG00000214360	0	1	0	0	0	0	0	0	0	0	0	0	702
ENSG00000168246	7	5	4	5	7	10	3	3	10	9	7	10	3301
ENSG00000212529	0	0	0	0	0	0	0	0	0	0	0	0	145
ENSG00000253218	0	0	0	0	0	0	0	0	0	0	0	1	1022
ENSG00000222732	0	0	0	0	0	0	0	0	0	0	0	0	114
ENSG00000174705	4	2	5	2	2	10	4	8	6	1	5	2	7977
ENSG00000254299	0	0	0	0	0	0	0	0	0	0	0	0	416
ENSG00000280318	0	0	0	0	0	0	0	0	0	0	0	0	351
ENSG00000214357	0	0	0	0	1	0	0	0	0	0	0	2	6424
ENSG00000253683	14	17	24	27	20	15	33	20	29	29	60	57	192
ENSG00000265160	0	0	0	0	0	0	0	0	0	0	0	0	99
ENSG00000253445	0	0	0	0	0	0	0	0	0	0	0	0	528
ENSG00000253295	0	0	0	0	0	0	0	0	0	0	0	0	472
ENSG00000213386	0	0	0	0	0	0	0	0	0	0	0	0	738
ENSG00000253736	0	0	0	1	1	2	0	0	2	0	1	1	352
ENSG00000120129	327	265	328	309	199	217	246	232	232	185	286	314	2019
ENSG00000206741	0	0	0	0	0	0	0	0	0	0	0	0	113
ENSG00000270243	0	0	0	0	0	0	0	0	0	0	0	0	163
ENSG00000253628	1	0	0	2	0	0	2	0	0	0	0	2	582
ENSG00000113719	1155	972	1082	1036	1137	1205	1243	1284	1133	1032	1568	1699	14139
ENSG00000204758	1	3	0	3	3	1	0	4	2	7	2	4	2780
ENSG00000254295	0	0	0	0	0	0	0	0	0	0	0	0	489
ENSG00000037241	308	300	313	325	282	291	338	324	397	371	576	632	1164
ENSG00000253785	61	52	51	71	45	64	65	43	43	36	143	135	864
ENSG00000113732	1244	1047	1259	938	1032	985	961	1020	1019	978	861	899	1623
ENSG00000254328	0	3	0	0	0	0	2	0	0	2	0	0	182
ENSG00000212402	0	1	0	1	3	6	0	0	0	1	1	1	201
ENSG00000207210	0	0	0	1	0	0	0	0	0	0	0	0	104
ENSG00000164463	134	111	137	129	113	136	136	97	142	124	91	102	12333
ENSG00000253439	0	0	0	0	0	2	0	0	0	0	0	1	553
ENSG00000253172	0	0	0	0	0	0	0	1	0	0	0	0	496
ENSG00000113734	206	180	227	223	166	201	204	184	188	216	283	305	2440
ENSG00000281353	0	0	2	0	0	0	0	0	0	1	0	0	283
ENSG00000254200	0	0	0	0	0	0	0	0	0	0	0	0	588
ENSG00000183072	0	0	0	0	0	0	0	0	0	0	0	0	2094
ENSG00000201277	0	0	0	0	0	0	0	0	0	0	0	0	101
ENSG00000252169	0	0	0	0	0	0	0	0	0	0	0	0	103
ENSG00000113739	406	346	392	287	203	203	198	199	140	189	244	286	6128
ENSG00000274994	0	0	0	0	0	0	0	0	0	0	0	0	82
ENSG00000199219	0	0	0	0	0	0	0	0	0	0	0	0	107
ENSG00000253968	0	0	0	0	0	0	0	0	0	0	0	0	539
ENSG00000253141	0	0	0	0	0	0	0	0	0	0	0	0	1169
ENSG00000253768	0	0	0	0	0	0	0	0	0	0	0	0	455
ENSG00000254164	0	0	0	0	0	0	0	0	0	0	0	0	457
ENSG00000253955	4	0	0	0	0	1	1	0	2	2	0	2	3014
ENSG00000145919	203	176	168	179	179	155	172	175	193	219	273	323	2018
ENSG00000253959	0	0	0	0	0	0	0	0	0	0	0	0	494
ENSG00000253428	0	0	0	0	0	0	0	0	0	0	0	0	513
ENSG00000253686	0	0	0	0	1	0	2	0	0	0	0	0	2815
ENSG00000263401	0	0	0	0	0	0	0	0	0	0	0	0	100
ENSG00000254211	1	0	0	0	0	0	0	0	0	0	0	0	1839
ENSG00000113742	2156	1866	2216	1745	1614	1683	1646	1617	1918	1817	1675	1968	10272
ENSG00000185056	0	0	0	0	0	0	0	1	0	0	1	0	2758
ENSG00000253109	0	0	0	0	0	0	0	0	0	0	0	0	490
ENSG00000170091	1	0	0	0	0	0	3	0	0	0	0	0	3946
ENSG00000253244	0	0	0	0	0	0	0	0	0	0	0	0	289
ENSG00000253447	0	0	0	0	0	0	0	0	0	0	0	0	689
ENSG00000254011	0	0	0	0	0	0	0	0	0	0	0	0	436
ENSG00000249722	0	0	0	0	0	0	0	0	0	0	0	0	558
ENSG00000249306	0	0	0	0	0	0	0	0	0	0	0	0	3800
ENSG00000213376	0	0	0	0	0	0	0	0	0	0	0	0	1003
ENSG00000249031	1	1	0	2	0	1	3	2	1	6	0	0	288
ENSG00000250256	0	0	0	0	0	0	0	0	0	0	0	0	659
ENSG00000248929	0	0	0	0	0	0	0	0	0	0	0	0	278
ENSG00000120149	0	0	0	0	0	0	0	0	0	0	0	0	2270
ENSG00000251670	0	0	0	0	0	0	0	0	0	0	0	0	457
ENSG00000266890	0	0	0	0	0	0	0	0	0	0	0	0	54
ENSG00000251144	0	0	0	0	0	0	0	0	0	0	0	0	287
ENSG00000204754	0	0	0	0	0	0	0	0	0	0	0	0	1925
ENSG00000251122	0	0	0	0	0	0	0	0	0	0	0	0	856
ENSG00000248293	0	0	0	0	0	0	0	0	0	0	0	0	177
ENSG00000249403	0	0	0	0	0	0	0	0	0	0	0	0	342
ENSG00000248355	0	0	0	0	0	0	0	0	0	0	0	0	439
ENSG00000184845	0	0	0	0	0	0	0	0	0	0	0	0	4054
ENSG00000164466	4966	4285	5123	4012	4431	4135	4221	4064	4106	4245	4084	4174	7572
ENSG00000270839	3	3	0	1	3	3	2	4	2	1	2	5	598
ENSG00000222111	0	0	0	0	0	0	0	0	0	0	0	0	275
ENSG00000113749	0	0	0	0	0	0	0	0	0	0	0	0	2565
ENSG00000200648	0	0	1	0	0	0	0	0	0	0	0	0	107
ENSG00000279496	0	0	0	0	0	0	0	0	0	0	0	0	1154
ENSG00000145920	0	0	0	0	2	1	0	0	1	0	4	2	7099
ENSG00000280068	0	0	0	0	0	2	0	2	1	0	0	1	498
ENSG00000250820	3	0	1	1	1	1	1	0	3	1	0	5	568
ENSG00000051596	700	643	744	818	595	764	626	639	587	670	1205	1286	3453
ENSG00000266083	1	0	4	1	2	0	0	2	1	0	1	1	93
ENSG00000250801	0	0	0	0	0	0	0	0	0	0	0	0	793
ENSG00000272494	0	0	0	0	0	0	0	0	0	0	0	0	931
ENSG00000250992	0	0	0	0	0	0	0	0	0	0	0	2	684
ENSG00000248469	0	1	0	0	0	0	0	0	0	0	0	0	1516
ENSG00000182230	0	2	1	1	0	4	0	5	0	0	3	2	10769
ENSG00000251458	0	0	0	0	0	0	0	0	0	0	0	0	354
ENSG00000251623	0	0	0	0	0	0	0	0	0	0	0	1	920
ENSG00000248596	67	78	83	66	66	85	69	82	46	57	61	81	5829
ENSG00000270989	0	1	4	3	3	3	0	2	0	0	2	3	397
ENSG00000170085	505	502	499	533	478	550	644	557	542	477	563	585	5536
ENSG00000251667	13	11	12	16	16	20	14	9	15	15	16	24	951
ENSG00000122203	917	817	882	845	886	917	934	921	911	847	1268	1345	3973
ENSG00000250909	14	6	5	3	18	10	9	9	7	8	6	11	504
ENSG00000251414	22	21	12	10	20	15	16	18	25	10	5	26	528
ENSG00000175414	8	6	4	3	7	6	5	6	10	4	12	8	11459
ENSG00000221464	0	0	0	0	0	0	0	0	0	0	0	0	86
ENSG00000048162	816	732	821	764	667	679	723	773	758	952	1453	1399	2862
ENSG00000146066	363	299	348	368	265	362	356	325	369	363	868	918	668
ENSG00000175416	447	389	389	439	308	415	469	420	435	458	915	944	2039
ENSG00000280139	0	0	0	0	0	0	0	0	0	0	0	0	149
ENSG00000113194	1845	1768	1793	1695	1559	1676	1671	1717	1723	1754	2068	2108	5954
ENSG00000221373	0	0	0	0	0	0	0	0	0	0	1	0	111
ENSG00000146083	978	1014	1138	1189	930	1183	1217	1116	1213	802	2023	2183	5660
ENSG00000074276	6	11	17	9	10	12	18	22	14	7	17	14	5348
ENSG00000243959	0	2	2	1	3	3	6	6	2	3	4	1	294
ENSG00000207420	0	0	1	0	0	0	0	0	0	0	0	0	102
ENSG00000169258	274	311	281	381	263	287	334	261	310	270	506	514	4211
ENSG00000074317	0	0	0	0	0	0	0	0	0	0	0	0	2006
ENSG00000266329	0	0	0	0	0	0	0	0	0	0	0	0	62
ENSG00000175766	0	2	1	0	0	0	0	0	0	0	0	2	3296
ENSG00000048140	1354	1313	1525	1481	1238	1368	1577	1442	1511	1245	2580	2767	5215
ENSG00000248484	0	0	0	0	0	0	0	0	0	0	0	0	578
ENSG00000251446	0	0	0	0	0	0	0	0	0	0	0	0	553
ENSG00000248859	0	0	0	0	0	0	0	0	0	0	0	0	560
ENSG00000113763	0	0	0	0	0	0	0	0	0	0	0	0	4356
ENSG00000160883	0	0	0	1	0	0	0	0	0	0	0	1	3290
ENSG00000087206	643	620	725	577	603	581	720	619	675	702	789	839	4739
ENSG00000113761	351	322	372	382	332	348	385	403	386	400	461	558	4686
ENSG00000251666	31	36	17	27	24	14	24	27	17	20	34	31	745
ENSG00000160867	501	449	471	533	505	639	664	578	549	436	795	840	4829
ENSG00000165671	2955	2586	2982	2492	2445	2742	2493	2608	2777	2929	2949	3418	15242
ENSG00000240729	0	0	0	0	1	3	0	0	1	2	0	1	476
ENSG00000270706	0	0	0	0	4	1	0	1	0	0	1	0	1009
ENSG00000169228	120	146	157	140	116	118	132	141	130	56	225	286	2065
ENSG00000213347	67	87	89	129	84	101	139	84	111	79	240	257	5154
ENSG00000169230	1666	1740	1890	1906	1421	1498	2059	1558	1852	1378	2998	3239	1875
ENSG00000169223	1268	1272	1438	1428	1042	1263	1462	1343	1481	1543	2587	2748	2357
ENSG00000239393	0	2	4	0	2	0	0	2	4	1	0	1	354
ENSG00000169220	329	366	329	380	365	453	466	424	329	332	670	801	3797
ENSG00000131183	0	0	0	0	0	0	0	0	0	0	0	0	4529
ENSG00000196570	0	0	0	0	0	0	0	0	2	0	0	0	530
ENSG00000131187	110	84	100	103	83	119	103	104	100	74	210	169	2769
ENSG00000198055	2145	2025	2310	2166	2001	2104	2124	2072	1950	1974	2805	3088	4355
ENSG00000246334	24	17	22	21	18	42	20	22	27	21	35	43	1701
ENSG00000131188	38	42	67	73	38	35	68	37	45	29	145	137	1772
ENSG00000113758	1135	1092	1088	1180	997	1348	1566	1325	1165	1005	2223	2420	5119
ENSG00000279821	15	10	23	12	7	19	11	15	19	16	33	57	3026
ENSG00000196923	891	933	962	1129	1046	1263	1467	1146	1099	868	1862	2072	4407
ENSG00000248996	13	5	6	4	11	6	12	6	11	10	23	38	434
ENSG00000146094	409	398	434	570	407	559	657	545	549	393	789	892	4821
ENSG00000183258	1487	1382	1470	1483	1278	1289	1313	1441	1398	1600	2314	2393	4536
ENSG00000146067	750	758	771	816	682	850	914	797	773	715	1153	1335	5804
ENSG00000272459	0	1	2	4	2	2	2	4	2	8	5	5	541
ENSG00000184840	1862	1426	1636	1376	1632	1690	1677	1566	1529	1532	2787	2865	2440
ENSG00000027847	152	180	181	208	134	137	196	134	137	121	240	261	4927
ENSG00000247679	17	19	11	14	22	28	10	15	20	9	21	26	1751
ENSG00000246596	21	10	22	16	18	31	26	17	13	31	21	32	1691
ENSG00000249849	45	31	41	28	42	43	34	37	26	30	27	31	431
ENSG00000170074	57	43	55	37	23	35	38	43	54	43	43	40	8528
ENSG00000249109	0	0	0	0	0	0	0	0	0	0	1	0	1517
ENSG00000248943	0	0	0	0	0	0	0	0	0	0	0	0	684
ENSG00000170089	358	307	300	351	269	299	389	313	341	361	476	427	3852
ENSG00000214351	0	0	0	0	0	0	0	0	0	0	0	0	894
ENSG00000249186	0	0	0	0	0	0	0	0	0	0	0	0	793
ENSG00000221204	0	1	0	0	1	0	1	1	0	0	0	0	93
ENSG00000250101	0	0	0	0	0	0	0	0	0	2	0	1	547
ENSG00000249684	3	1	4	2	2	1	1	4	3	3	2	5	1421
ENSG00000280207	0	0	0	2	0	0	0	0	0	0	0	0	454
ENSG00000249129	13	8	10	7	8	4	12	9	10	6	5	18	966
ENSG00000175325	0	0	0	0	0	0	0	1	0	0	0	0	1464
ENSG00000204677	2	0	0	0	0	0	2	0	1	0	0	4	4285
ENSG00000218227	4	6	5	12	3	3	5	3	3	5	12	16	591
ENSG00000145911	262	285	287	324	274	336	399	359	325	267	506	588	6080
ENSG00000145916	1024	950	1103	966	885	922	1085	898	835	819	1218	1327	7701
ENSG00000145912	280	291	283	395	255	330	364	308	375	413	1482	1481	1510
ENSG00000251211	0	0	0	0	0	0	0	0	0	0	0	0	861
ENSG00000244234	0	1	0	0	1	0	0	1	1	0	0	1	1581
ENSG00000197451	3549	3255	3625	3653	2992	3413	3589	3627	4020	4737	8726	9363	2161
ENSG00000175309	549	471	589	465	472	466	450	480	400	434	547	690	8402
ENSG00000050767	3	0	0	0	0	0	0	1	0	0	0	0	3586
ENSG00000271681	0	0	0	0	0	0	0	0	0	0	0	0	474
ENSG00000253698	0	0	0	0	0	0	0	0	0	0	0	0	666
ENSG00000242341	0	0	0	0	0	0	0	0	0	0	0	0	297
ENSG00000245688	0	0	0	0	0	0	0	0	0	0	0	0	1458
ENSG00000113240	490	504	565	486	428	394	489	448	552	453	447	419	7924
ENSG00000252464	4	0	4	6	0	5	1	2	5	5	1	2	271
ENSG00000169131	29	22	38	26	41	26	42	44	35	41	26	32	2947
ENSG00000250420	118	105	103	89	117	94	145	101	100	120	114	113	3380
ENSG00000274813	7	4	10	7	12	12	5	6	10	6	7	7	190
ENSG00000253725	0	0	0	0	0	1	0	0	0	0	0	0	1038
ENSG00000278441	0	0	0	0	0	0	0	0	0	0	0	0	208
ENSG00000178338	279	211	270	261	274	278	330	265	242	288	224	240	3750
ENSG00000206624	0	0	0	0	0	0	0	0	0	0	0	0	165
ENSG00000198939	1	1	3	4	2	1	2	1	0	1	0	1	2641
ENSG00000213328	0	0	1	0	0	0	0	0	0	0	0	0	900
ENSG00000253869	0	0	0	0	1	0	1	1	0	0	0	0	653
ENSG00000272431	0	0	0	0	0	0	0	0	0	0	0	0	547
ENSG00000178187	0	0	0	0	0	0	0	0	0	0	0	0	2662
ENSG00000254035	0	0	0	0	0	0	0	0	0	0	0	0	674
ENSG00000113262	0	0	0	0	0	0	0	0	0	0	0	0	6695
ENSG00000254158	0	0	0	0	0	0	0	0	0	0	0	0	847
ENSG00000234284	9	15	8	7	8	7	11	14	15	9	12	6	3883
ENSG00000177932	2	1	0	0	2	4	0	1	0	3	2	3	5411
ENSG00000253144	0	0	0	0	0	0	0	0	0	0	0	0	515
ENSG00000087116	0	0	0	0	0	0	0	0	0	0	0	0	7687
ENSG00000253979	0	0	0	0	0	0	0	0	0	0	0	0	360
ENSG00000253163	0	0	0	0	0	0	0	0	0	0	0	0	624
ENSG00000253617	0	0	0	0	0	0	0	0	0	0	0	0	174
ENSG00000250674	0	0	0	0	0	0	0	0	0	0	0	0	561
ENSG00000274716	0	0	0	0	0	0	0	0	0	0	0	0	82
ENSG00000253652	0	0	0	0	0	0	0	0	0	0	0	0	535
ENSG00000251545	0	0	0	0	0	0	0	0	0	0	0	0	1142
ENSG00000253520	0	1	5	1	1	0	0	3	0	1	0	0	290
ENSG00000176783	691	713	857	716	687	795	827	785	856	815	815	876	5911
ENSG00000249140	2	1	0	1	1	1	0	2	2	0	1	2	586
ENSG00000244945	17	10	10	15	13	9	9	6	17	12	13	13	1966
ENSG00000169045	14100	11549	14973	11291	11307	11078	11749	10892	12795	13031	13692	14557	9480
ENSG00000273549	0	0	0	0	0	0	0	0	0	0	1	0	260
ENSG00000204661	0	0	0	0	0	0	0	0	0	0	0	0	3284
ENSG00000228259	0	0	0	0	0	0	0	0	0	0	0	0	951
ENSG00000250999	6	6	7	9	1	10	3	10	0	4	10	8	821
ENSG00000204659	0	0	0	0	0	0	1	0	0	0	0	1	785
ENSG00000127022	24990	22700	25716	21784	21403	21612	23144	22159	23729	24224	22103	23510	6235
ENSG00000225051	0	0	0	0	1	0	1	2	1	0	0	0	825
ENSG00000161021	861	868	967	893	767	870	821	830	973	841	1249	1458	10690
ENSG00000213316	0	0	0	0	0	0	0	0	0	0	0	0	1192
ENSG00000161013	1326	1392	1375	1368	1320	1379	1545	1427	1425	1300	2255	2412	5495
ENSG00000221394	0	0	0	0	0	0	0	0	0	0	0	0	69
ENSG00000161011	1481	1601	1531	1573	1235	1524	1707	1398	1623	1237	2010	2152	7654
ENSG00000161010	336	297	363	362	364	395	381	361	315	306	441	495	8496
ENSG00000222448	0	0	0	0	0	2	1	2	1	0	3	2	321
ENSG00000252202	3	4	9	4	2	4	4	4	5	2	4	2	96
ENSG00000245317	33	25	13	20	33	18	28	11	17	26	27	26	1454
ENSG00000197226	1125	983	1121	1115	1067	1095	1064	1137	1118	1212	1541	1868	11473
ENSG00000113269	519	473	538	567	436	558	622	547	595	604	570	648	12822
ENSG00000242979	0	0	0	0	0	0	0	0	0	0	0	0	392
ENSG00000281431	0	0	0	0	0	0	0	0	0	0	0	0	243
ENSG00000249876	0	0	0	0	0	0	0	0	0	0	0	0	676
ENSG00000249412	0	0	3	0	1	1	1	0	1	0	0	0	569
ENSG00000198995	0	0	0	0	0	0	0	0	0	0	0	0	111
ENSG00000278965	0	0	0	0	0	0	0	0	0	0	1	0	3335
ENSG00000253480	0	0	0	0	0	1	0	0	0	0	0	0	1015
ENSG00000146090	2	5	9	6	3	8	1	4	3	2	7	3	2961
ENSG00000229721	0	0	0	0	1	1	2	1	0	0	0	0	623
ENSG00000050748	1260	1252	1254	1076	1237	1146	1309	1250	1158	1163	1127	1219	8955
ENSG00000253908	11	3	9	4	9	7	12	6	6	5	5	2	687
ENSG00000248367	4	6	8	5	16	7	5	13	10	5	16	16	393
ENSG00000131459	0	2	5	2	2	0	1	0	1	1	1	0	4780
ENSG00000250509	0	0	0	0	0	0	0	0	0	0	0	0	806
ENSG00000200555	0	0	0	0	0	0	0	0	0	0	0	0	104
ENSG00000113300	2385	2231	2519	1936	2000	2117	2057	1970	2146	2102	1868	1912	6586
ENSG00000250749	2	0	0	1	0	0	0	0	0	1	2	0	459
ENSG00000263759	1	0	0	0	0	0	0	0	0	0	0	0	86
ENSG00000161055	0	0	0	0	0	0	0	0	0	0	0	1	846
ENSG00000037280	4	4	5	6	9	12	9	3	4	2	7	8	8852
ENSG00000251352	0	0	0	0	0	0	0	0	0	0	0	0	707
ENSG00000248717	0	0	0	0	0	0	0	0	0	0	0	0	1039
ENSG00000236791	0	0	0	0	0	0	0	0	0	0	0	0	932
ENSG00000199892	0	0	0	0	0	0	0	0	0	0	0	0	152
ENSG00000174339	0	0	0	0	0	0	0	0	0	0	0	0	1058
ENSG00000131446	1322	1349	1466	1421	1163	1460	1549	1381	1354	1175	2054	2356	11576
ENSG00000280161	22	21	10	20	13	13	16	14	13	13	12	24	984
ENSG00000278970	172	118	160	165	137	136	176	142	168	120	226	220	1652
ENSG00000245060	107	92	149	131	110	126	143	113	111	98	202	140	2453
ENSG00000196670	518	501	586	434	407	469	454	443	530	584	519	602	4197
ENSG00000113303	11	7	18	4	10	13	15	15	10	11	25	16	3924
ENSG00000222852	0	0	0	0	5	0	0	1	1	0	2	0	90
ENSG00000243664	3	8	0	6	3	3	0	4	1	3	3	4	152
ENSG00000249287	0	0	0	0	0	0	0	0	0	0	0	0	1195
ENSG00000248761	0	0	0	0	0	0	0	0	0	0	0	0	720
ENSG00000231228	0	0	0	1	0	0	0	0	0	0	0	0	339
ENSG00000168903	9	8	13	19	17	13	13	13	15	6	16	16	2440
ENSG00000206686	1	2	3	1	0	3	2	4	3	0	0	1	104
ENSG00000165810	1175	1094	1217	1245	1183	1256	1487	1341	1251	1201	1959	2237	5565
ENSG00000277912	1	3	4	2	9	2	6	4	7	4	10	10	82
ENSG00000241870	0	0	0	0	0	0	0	0	0	0	0	0	592
ENSG00000214295	1	1	2	7	3	2	4	8	2	5	7	5	1527
ENSG00000248560	0	0	0	1	0	0	1	0	2	0	0	0	1569
ENSG00000185372	1	2	0	0	1	0	0	1	1	1	0	0	948
ENSG00000182613	0	0	0	0	0	0	0	0	0	0	0	0	948
ENSG00000248473	1	0	1	2	0	0	2	0	1	0	4	3	411
ENSG00000250222	8	6	6	5	9	6	4	4	10	5	4	12	486
ENSG00000146054	148	118	168	137	159	163	199	164	142	140	188	208	7338
ENSG00000250900	6	3	1	7	1	3	4	6	8	1	4	3	1484
ENSG00000248514	0	1	0	0	4	3	1	0	0	1	4	3	456
ENSG00000146063	614	632	605	707	436	628	633	584	735	604	1503	1622	12803
ENSG00000264732	0	0	0	0	0	0	0	0	0	0	0	0	68
ENSG00000247049	0	0	0	0	0	0	0	0	0	0	0	0	566
ENSG00000204628	13634	12177	13140	13873	12067	13769	14636	14276	14254	16839	22467	23237	5990
ENSG00000272296	0	0	0	0	0	0	0	0	0	0	0	0	79
ENSG00000264549	0	0	0	0	0	0	0	0	0	0	0	0	68
ENSG00000233937	52	46	58	55	36	79	82	57	59	41	176	213	3312
ENSG00000183718	493	386	430	404	435	395	458	432	447	423	537	562	6562
ENSG00000248275	115	109	116	128	86	155	151	120	142	135	212	184	1316
ENSG00000248103	43	26	47	36	31	41	35	42	72	75	109	144	549
ENSG00000274525	168	149	156	134	145	132	122	148	145	152	114	162	246
ENSG00000222533	41	40	28	26	40	24	20	28	31	23	18	24	104
ENSG00000238035	73	55	53	46	57	75	74	45	71	69	99	87	1838
ENSG00000274553	0	0	0	0	0	0	0	1	1	0	0	0	2791
ENSG00000250765	2	1	1	4	1	2	1	1	0	3	2	2	727
ENSG00000230178	0	0	0	0	0	1	0	0	0	0	0	0	995
ENSG00000251035	0	0	0	0	0	0	0	0	0	0	0	0	344
ENSG00000213285	12	11	2	26	31	27	1	10	0	5	17	5	468
ENSG00000271530	0	0	0	0	0	0	0	0	0	0	0	0	331
ENSG00000220212	2	0	0	1	3	5	3	5	5	1	0	1	938
ENSG00000170590	0	0	0	0	0	1	0	0	0	0	0	0	727
ENSG00000217929	0	0	0	0	0	0	0	0	0	0	0	1	2812
ENSG00000218577	0	0	0	0	0	0	0	0	0	0	0	0	709
ENSG00000263667	1	0	2	0	0	0	0	0	0	0	0	0	2050
ENSG00000205653	0	0	0	0	0	0	0	0	0	0	0	0	2007
ENSG00000112679	405	403	411	355	357	354	417	404	378	398	452	545	5686
ENSG00000137265	0	0	1	1	0	1	1	0	0	0	1	1	5898
ENSG00000112685	1343	1271	1255	1197	1110	1213	1226	1199	1298	1338	1204	1239	4983
ENSG00000230433	3	2	4	1	6	5	2	5	1	0	3	4	851
ENSG00000188996	7	9	6	4	7	9	8	5	10	10	11	14	1025
